2455823.45985   0.01608 0.00640 optical NITES
2455823.45997   0.02636 0.00651 optical NITES
2455823.46010   0.02252 0.00651 optical NITES
2455823.46023   0.02489 0.00651 optical NITES
2455823.46037   0.01344 0.00640 optical NITES
2455823.46049   0.01987 0.00648 optical NITES
2455823.46062   0.02248 0.00648 optical NITES
2455823.46075   0.02518 0.00658 optical NITES
2455823.46088   0.01454 0.00637 optical NITES
2455823.46100   0.02485 0.00651 optical NITES
2455823.46113   0.02665 0.00655 optical NITES
2455823.46127   0.02579 0.00651 optical NITES
2455823.46140   0.01971 0.00644 optical NITES
2455823.46152   0.02933 0.00658 optical NITES
2455823.46165   0.01244 0.00637 optical NITES
2455823.46178   0.01746 0.00644 optical NITES
2455823.46191   0.01911 0.00644 optical NITES
2455823.46203   0.01401 0.00640 optical NITES
2455823.46217   0.01447 0.00640 optical NITES
2455823.46230   0.01379 0.00637 optical NITES
2455823.46243   0.01375 0.00820 optical NITES
2455823.46255   0.02304 0.00651 optical NITES
2455823.46268   0.02729 0.00655 optical NITES
2455823.46281   0.02078 0.00662 optical NITES
2455823.46294   0.02116 0.00644 optical NITES
2455823.46306   0.00890 0.00633 optical NITES
2455823.46320   0.02378 0.00648 optical NITES
2455823.46333   0.01919 0.00644 optical NITES
2455823.46346   0.01738 0.00640 optical NITES
2455823.46358   0.03269 0.00658 optical NITES
2455823.46371   0.02905 0.00655 optical NITES
2455823.46384   0.03069 0.00658 optical NITES
2455823.46397   0.03513 0.00662 optical NITES
2455823.46410   0.01360 0.00633 optical NITES
2455823.46423   0.03337 0.00662 optical NITES
2455823.46436   0.02225 0.00648 optical NITES
2455823.46449   0.03214 0.00662 optical NITES
2455823.46461   0.03307 0.00662 optical NITES
2455823.46474   0.01605 0.00637 optical NITES
2455823.46487   0.01585 0.00637 optical NITES
2455823.46500   0.03204 0.00658 optical NITES
2455823.46514   0.03175 0.00662 optical NITES
2455823.46526   0.02227 0.00662 optical NITES
2455823.46539   0.01615 0.00640 optical NITES
2455823.46552   0.02524 0.00651 optical NITES
2455823.46564   0.01760 0.00640 optical NITES
2455823.46577   0.01332 0.00637 optical NITES
2455823.46590   0.01158 0.00633 optical NITES
2455823.46604   0.02062 0.00644 optical NITES
2455823.46617   0.02055 0.00648 optical NITES
2455823.46629   0.02461 0.00651 optical NITES
2455823.46642   0.02044 0.00644 optical NITES
2455823.46655   0.02698 0.00651 optical NITES
2455823.46667   0.02394 0.00648 optical NITES
2455823.46680   0.02192 0.00648 optical NITES
2455823.46694   0.01320 0.00637 optical NITES
2455823.46707   0.02424 0.00648 optical NITES
2455823.46720   0.02538 0.00651 optical NITES
2455823.46732   0.02776 0.00655 optical NITES
2455823.46745   0.02231 0.00644 optical NITES
2455823.46758   0.02363 0.00651 optical NITES
2455823.46770   0.02588 0.00651 optical NITES
2455823.46784   0.02990 0.00655 optical NITES
2455823.46797   0.02456 0.00651 optical NITES
2455823.46810   0.04304 0.00672 optical NITES
2455823.46823   0.02149 0.00644 optical NITES
2455823.46835   0.01899 0.00644 optical NITES
2455823.46848   0.01723 0.00640 optical NITES
2455823.46861   0.02568 0.00655 optical NITES
2455823.46875   0.01685 0.00644 optical NITES
2455823.46887   0.02502 0.00651 optical NITES
2455823.46900   0.02090 0.00648 optical NITES
2455823.46913   0.02232 0.00648 optical NITES
2455823.46926   0.02726 0.00651 optical NITES
2455823.46938   0.02445 0.00655 optical NITES
2455823.46951   0.03425 0.00662 optical NITES
2455823.46964   0.01913 0.00640 optical NITES
2455823.46978   0.02377 0.00648 optical NITES
2455823.46990   0.02573 0.00655 optical NITES
2455823.47003   0.03013 0.00658 optical NITES
2455823.47016   0.01841 0.00640 optical NITES
2455823.47029   0.02268 0.00648 optical NITES
2455823.47041   0.02061 0.00644 optical NITES
2455823.47054   0.01818 0.00640 optical NITES
2455823.47068   0.02631 0.00651 optical NITES
2455823.47081   0.02981 0.00655 optical NITES
2455823.47093   0.01717 0.00644 optical NITES
2455823.47106   0.01748 0.00644 optical NITES
2455823.47119   0.01376 0.00637 optical NITES
2455823.47132   0.02675 0.00651 optical NITES
2455823.47145   0.01532 0.00637 optical NITES
2455823.47158   0.02215 0.00648 optical NITES
2455823.47171   0.02731 0.00651 optical NITES
2455823.47184   0.02908 0.00655 optical NITES
2455823.47196   0.01816 0.00644 optical NITES
2455823.47209   0.02525 0.00651 optical NITES
2455823.47222   0.01924 0.00644 optical NITES
2455823.47235   0.02338 0.00648 optical NITES
2455823.47248   0.02536 0.00651 optical NITES
2455823.47261   0.02378 0.00648 optical NITES
2455823.47274   0.01000 0.00626 optical NITES
