# BJD-2450000   mag       e_mag      Flag   Phase    
  7069.932228   +0.0025   0.00097    0      0.85082  
  7069.952660   +0.0024   0.00097    0      0.85912  
  7069.973092   +0.0034   0.00097    1      0.86742  
  7069.993524   +0.0031   0.00097    0      0.87572  
  7070.013956   +0.0041   0.00097    0      0.88402  
  7070.034388   +0.0041   0.00097    0      0.89233  
  7070.054820   +0.0048   0.00097    0      0.90063  
  7070.075252   +0.0047   0.00097    1      0.90893  
  7070.095685   +0.0051   0.00097    0      0.91723  
  7070.116117   +0.0056   0.00097    0      0.92553  
  7070.136549   +0.0054   0.00097    0      0.93384  
  7070.156981   +0.0063   0.00097    0      0.94214  
  7070.177413   +0.0061   0.00097    1      0.95044  
  7070.197845   +0.0067   0.00097    0      0.95874  
  7070.218277   +0.0065   0.00097    1      0.96704  
  7070.238709   +0.0187   0.00097    5      0.97535  
  7070.259141   +0.0544   0.00097    5      0.98365  
  7070.279574   +0.0888   0.00097    5      0.99195  
  7070.300006   +0.1022   0.00097    5      0.00025  
  7070.320438   +0.0870   0.00097    5      0.00855  
  7070.340870   +0.0523   0.00097    5      0.01685  
  7070.361302   +0.0168   0.00097    5      0.02516  
  7070.381734   +0.0066   0.00097    1      0.03346  
  7070.402166   +0.0061   0.00097    0      0.04176  
  7070.422598   +0.0062   0.00097    0      0.05006  
  7070.443030   +0.0056   0.00097    0      0.05836  
  7070.463462   +0.0057   0.00097    0      0.06667  
  7070.483894   +0.0054   0.00097    1      0.07497  
  7070.504326   +0.0050   0.00097    0      0.08327  
  7070.524759   +0.0046   0.00097    0      0.09157  
  7070.545191   +0.0044   0.00097    0      0.09987  
  7070.565623   +0.0042   0.00097    0      0.10818  
  7070.586055   +0.0036   0.00097    1      0.11648  
  7070.626919   +0.0028   0.00097    0      0.13308  
  7070.647351   +0.0028   0.00097    0      0.14138  
  7070.667783   +0.0021   0.00097    0      0.14968  
  7070.688215   +0.0020   0.00097    0      0.15799  
  7070.708647   +0.0016   0.00097    1      0.16629  
  7070.729079   +0.0015   0.00097    0      0.17459  
  7070.749512   +0.0010   0.00097    0      0.18289  
  7070.769944   +0.0006   0.00097    0      0.19119  
  7070.790376   +0.0006   0.00097    0      0.19950  
  7070.810808   +0.0000   0.00097    1      0.20780  
  7070.831240   -0.0003   0.00097    0      0.21610  
  7070.851672   -0.0003   0.00097    0      0.22440  
  7070.872104   -0.0005   0.00097    0      0.23270  
  7070.892536   -0.0006   0.00097    0      0.24101  
  7070.912968   -0.0007   0.00097    1      0.24931  
  7070.933400   -0.0006   0.00097    0      0.25761  
  7070.974264   -0.0007   0.00097    0      0.27421  
  7070.994696   -0.0008   0.00097    0      0.28252  
  7071.015129   -0.0009   0.00097    0      0.29082  
  7071.035560   -0.0008   0.00097    1      0.29912  
  7071.076425   -0.0007   0.00097    0      0.31572  
  7071.096857   -0.0010   0.00097    0      0.32402  
  7071.117289   -0.0006   0.00097    0      0.33233  
  7071.158153   -0.0003   0.00097    0      0.34893  
  7071.178585   -0.0002   0.00097    1      0.35723  
  7071.199017   -0.0002   0.00097    0      0.36553  
  7071.219449   -0.0000   0.00097    0      0.37384  
  7071.239881   +0.0001   0.00097    0      0.38214  
  7071.260313   +0.0005   0.00097    0      0.39044  
  7071.280745   +0.0002   0.00097    1      0.39874  
  7071.321610   -0.0023   0.00097    0      0.41535  
  7071.342042   -0.0018   0.00097    0      0.42365  
  7071.362474   -0.0020   0.00097    0      0.43195  
  7071.382906   -0.0016   0.00097    0      0.44025  
  7071.403338   -0.0017   0.00097    1      0.44855  
  7071.423770   -0.0014   0.00097    0      0.45686  
  7071.444202   -0.0013   0.00097    1      0.46516  
  7071.464634   +0.0013   0.00097    5      0.47346  
  7071.485066   +0.0175   0.00097    5      0.48176  
  7071.505498   +0.0342   0.00048    5      0.49006  
  7071.525930   +0.0439   0.00048    5      0.49836  
  7071.566794   +0.0239   0.00048    5      0.51497  
  7071.587226   +0.0062   0.00048    5      0.52327  
  7071.607658   -0.0019   0.00048    5      0.53157  
  7071.628090   -0.0019   0.00048    1      0.53987  
  7071.648523   -0.0020   0.00048    0      0.54818  
  7071.668955   -0.0021   0.00048    0      0.55648  
  7071.689387   -0.0021   0.00048    0      0.56478  
  7071.709819   -0.0020   0.00048    0      0.57308  
  7071.730251   -0.0021   0.00048    1      0.58138  
  7071.750683   -0.0019   0.00048    0      0.58969  
  7071.771115   -0.0026   0.00048    0      0.59799  
  7071.791547   -0.0022   0.00048    0      0.60629  
