# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Sat Jan  9 10:31:12 2016
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     29.300  (degree)
#   <Mass Ratio>       0.234  (dimensionless)
#   <Lagrange One>     0.644  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Model atmophere
#   <Log g Primary>         5.0
#   <Log g Secondary>       4.0
#   <Fractional visibility> On
#   <Limb darkening>        quadratic
#   <Detailed reflection>   9
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        8.908e+03  (seconds)
#   <Total Mass>    1.006e+30  (kilogramm)
#   <Distance>      5.130e+08  (meter)
#   <Lagrange One>  3.305e+08  (meter)
# 
#   <Period>           0.103  (days)
#   <Total Mass>       0.506  (solar mass)
#   <Distance>         0.737  (solar radius)
#   <Lagrange One>     0.475  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    33.577    143.492   (km/sec)
# 
#   <Mass>             0.810      0.190   (dimensionless)
#   <Gravity>       1770.600     33.441   (dimensionless)
#   <Polar Radius>     0.024      0.168   (dimensionless)
#   <Point Radius>  0.023765   0.177139   (dimensionless)
#   <Mean Radius>   0.023765   0.169751   (dimensionless)
#   <Volume>        0.000056   0.021075   (dimensionless)
# 
#   <Mass>          8.16e+29   1.91e+29   (kilogramm)
#   <Gravity>       366191.857   6916.268   (m kg/s^2)
#   <Polar Radius>  1.22e+07   8.62e+07   (meter)
#   <Point Radius>  1.22e+07   9.09e+07   (meter)
#   <Mean Radius>   1.22e+07   8.71e+07   (meter)
#   <Volume>        7.59e+21   2.84e+24   (cubic meter)
# 
#   <Mass>             0.410      0.096   (solar mass)
#   <Polar Radius>     0.018      0.124   (solar radius)
#   <Point Radius>     0.018      0.131   (solar radius)
#   <Mean Radius>      0.018      0.125   (solar radius)
#   <Volume>           0.000      0.008   (solar volumes)
# 
#   <Mean Temp.>     19000.0     3074.0   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.050      0.690   (dimensionless)
#   <Temperature>    19000.0     3000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.049   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>       42.3130   (dimensionless)
#   <Lagrange 1 Potential>             2.3153   (dimensionless)
#   <Lagrange 2 Potential>             2.1672   (dimensionless)
#   <Surface Potential Secondary>     10.1645   (dimensionless)
#   <... in Primary frame>             2.7615   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.81275e+08          124623
#   Band   1:      2.2245e+08          799948
#   Band   2:      8.9328e+07     1.41266e+06
#   Band   3:     7.28367e+07     3.94965e+06
#   Band   4:     6.05749e+07     2.51669e+07
#   Band   5:     1.95636e+07     3.14685e+07
#   Band   6:      5.1485e+06     1.56176e+07
#   Band   7:     4.34291e+06     1.73784e+07
#   Band   8:     4.05443e+09      1.6897e+06
#   Band   9:     3.00929e+09     8.49071e+06
#   Band  10:     1.44699e+09     6.72365e+06
#   Band  11:     5.84522e+08     9.98555e+06
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.81448e+08            0.75
#   Band   1:     2.23299e+08            0.75
#   Band   2:     9.07536e+07            0.75
#   Band   3:     7.67871e+07            0.75
#   Band   4:     8.56814e+07            0.75
#   Band   5:     5.09773e+07            0.75
#   Band   6:      2.0744e+07            0.75
#   Band   7:     2.17019e+07            0.75
#   Band   8:     4.05722e+09            0.75
#   Band   9:     3.01847e+09            0.75
#   Band  10:       1.454e+09            0.75
#   Band  11:     5.94587e+08            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
    24 -0.2260 -0.000023 -0.000140 -0.000573 -0.001470 -0.004858 -0.006761 -0.009784 -0.009465 -0.000013 -0.000095 -0.000207 -0.000624       -33.2       137.7
    25 -0.2250 -0.000023 -0.000144 -0.000597 -0.001532 -0.005062 -0.007042 -0.010193 -0.009860 -0.000013 -0.000098 -0.000215 -0.000650      -33.16       137.5
    26 -0.2240 -0.000023 -0.000150 -0.000621 -0.001594 -0.005267 -0.007322 -0.010600 -0.010252 -0.000013 -0.000102 -0.000224 -0.000677      -33.13       137.4
    27 -0.2230 -0.000023 -0.000155 -0.000645 -0.001656 -0.005472 -0.007602 -0.011008 -0.010645 -0.000013 -0.000105 -0.000232 -0.000702       -33.1       137.2
    28 -0.2220 -0.000025 -0.000162 -0.000671 -0.001721 -0.005678 -0.007883 -0.011415 -0.011038 -0.000014 -0.000110 -0.000242 -0.000731      -33.06         137
    29 -0.2210 -0.000026 -0.000168 -0.000696 -0.001784 -0.005884 -0.008163 -0.011823 -0.011431 -0.000015 -0.000114 -0.000251 -0.000758      -33.02       136.9
    30 -0.2200 -0.000031 -0.000178 -0.000724 -0.001852 -0.006093 -0.008447 -0.012234 -0.011827 -0.000019 -0.000121 -0.000263 -0.000789      -32.98       136.7
    31 -0.2190 -0.000038 -0.000189 -0.000755 -0.001922 -0.006305 -0.008735 -0.012649 -0.012229 -0.000025 -0.000131 -0.000278 -0.000822      -32.94       136.5
    32 -0.2180 -0.000041 -0.000198 -0.000783 -0.001988 -0.006514 -0.009022 -0.013065 -0.012631 -0.000028 -0.000137 -0.000290 -0.000852       -32.9       136.3
    33 -0.2170 -0.000044 -0.000206 -0.000810 -0.002054 -0.006722 -0.009306 -0.013477 -0.013030 -0.000030 -0.000143 -0.000300 -0.000881      -32.86       136.1
    34 -0.2160 -0.000047 -0.000214 -0.000838 -0.002120 -0.006931 -0.009590 -0.013888 -0.013426 -0.000033 -0.000149 -0.000312 -0.000911      -32.81       135.9
    35 -0.2150 -0.000048 -0.000220 -0.000863 -0.002185 -0.007138 -0.009870 -0.014297 -0.013820 -0.000034 -0.000153 -0.000321 -0.000939      -32.77       135.7
    36 -0.2140 -0.000047 -0.000225 -0.000886 -0.002247 -0.007343 -0.010149 -0.014704 -0.014213 -0.000033 -0.000156 -0.000329 -0.000964      -32.72       135.5
    37 -0.2130 -0.000048 -0.000230 -0.000911 -0.002310 -0.007549 -0.010429 -0.015111 -0.014605 -0.000033 -0.000160 -0.000337 -0.000991      -32.67       135.3
    38 -0.2120 -0.000049 -0.000237 -0.000937 -0.002375 -0.007756 -0.010709 -0.015520 -0.014998 -0.000034 -0.000164 -0.000347 -0.001019      -32.62       135.1
    39 -0.2110 -0.000050 -0.000244 -0.000963 -0.002439 -0.007963 -0.010990 -0.015928 -0.015392 -0.000035 -0.000169 -0.000357 -0.001047      -32.57       134.9
    40 -0.2100 -0.000050 -0.000248 -0.000986 -0.002502 -0.008168 -0.011269 -0.016335 -0.015784 -0.000034 -0.000171 -0.000365 -0.001073      -32.52       134.6
    41 -0.2090 -0.000052 -0.000256 -0.001013 -0.002568 -0.008376 -0.011548 -0.016742 -0.016176 -0.000036 -0.000177 -0.000375 -0.001103      -32.47       134.4
    42 -0.2080 -0.000054 -0.000263 -0.001039 -0.002633 -0.008583 -0.011827 -0.017148 -0.016567 -0.000037 -0.000181 -0.000385 -0.001131      -32.41       134.1
    43 -0.2070 -0.000053 -0.000267 -0.001063 -0.002696 -0.008788 -0.012104 -0.017552 -0.016955 -0.000036 -0.000184 -0.000393 -0.001157      -32.36       133.9
    44 -0.2060 -0.000051 -0.000270 -0.001085 -0.002757 -0.008992 -0.012380 -0.017956 -0.017344 -0.000033 -0.000185 -0.000399 -0.001181       -32.3       133.7
    45 -0.2050 -0.000054 -0.000279 -0.001113 -0.002824 -0.009200 -0.012657 -0.018360 -0.017732 -0.000036 -0.000192 -0.000411 -0.001212      -32.24       133.4
    46 -0.2040 -0.000064 -0.000294 -0.001148 -0.002898 -0.009415 -0.012941 -0.018770 -0.018127 -0.000045 -0.000204 -0.000429 -0.001249      -32.18       133.1
    47 -0.2030 -0.000070 -0.000304 -0.001179 -0.002968 -0.009626 -0.013224 -0.019181 -0.018523 -0.000050 -0.000212 -0.000442 -0.001281      -32.12       132.9
